epoch,acc,loss
181,0.994,0.021699655594304205
182,0.996,0.010776238573715092
183,1.0,0.00776370619260706
184,0.992,0.018461484894156457
185,0.996,0.030684227654710412
186,0.994,0.028660106778144838
187,1.0,0.007893907599151135
188,1.0,0.007283575305715204
189,0.998,0.003708184452727437
190,1.0,0.0033966970443725587
191,0.994,0.01064950194233097
192,0.996,0.01081675673625432
193,0.998,0.005266098712570965
194,1.0,0.0022263365892868023
195,1.0,0.0020741180260665714
196,0.998,0.0030531936687184496
197,1.0,0.002300665858143475
198,1.0,0.0012616631392156706
199,1.0,0.00042051181243732573
200,0.998,0.0055701829417375845
201,0.976,0.11175127482647076
202,0.984,0.06109478159248829
203,0.994,0.02014919377071783
204,1.0,0.010686986085027456
205,0.99,0.03572735599800944
206,0.99,0.04016704354807735
207,0.988,0.05470754325157032
208,1.0,0.013090524978935718
209,0.996,0.022636103839671705
210,0.986,0.04462935547530651
211,0.99,0.06151619133353233
212,0.992,0.016600887425243856
213,0.998,0.008377365215972531
214,0.998,0.004725949585437775
215,1.0,0.0026287611927837133
216,1.0,0.001895487158151809
217,1.0,0.0013119988716207445
218,0.994,0.03958910311030923
219,1.0,0.0026483841105364265
220,0.998,0.005639708469156176
221,1.0,0.005217720742104575
222,0.998,0.035230527073610574
223,0.998,0.0030629323470639067
224,0.998,0.011036899945698678
225,0.984,0.12338951537013054
226,0.96,0.26136268639564514
227,0.984,0.09113775330781937
228,0.994,0.030206801377236844
229,0.984,0.03361109049618244
230,0.984,0.070948919005692
231,0.994,0.025673616632819175
232,1.0,0.008904757179319859
233,1.0,0.003690989423543215
234,0.996,0.010597218086011708
235,0.93,0.3934404852539301
236,0.928,0.2431753848195076
237,0.982,0.11502957378327847
238,0.992,0.06134805449098349
239,0.992,0.06025153120793402
240,0.994,0.08314437929913401
241,0.992,0.08251146192476154
242,0.994,0.0626511081047356
243,0.926,0.7810418799817562
244,0.946,0.2788207859992981
245,0.84,0.7420181436538696
246,0.934,0.22608097541332245
247,0.96,0.14513738298416137
248,0.972,0.11660173450410366
249,0.984,0.057048984557390214
250,0.988,0.05072317323088646
251,0.986,0.049074884966015815
252,0.994,0.026943965643644333
253,0.992,0.027177454244345426
254,0.97,0.10352791200205684
255,0.988,0.0701587542295456
256,0.996,0.05186133576184511
257,0.994,0.04734183620661497
258,1.0,0.005991369033232332
259,0.996,0.009154413987882436
260,0.998,0.004424094820395112
261,0.996,0.008555435562506318
262,0.998,0.010227523662149907
263,0.996,0.03682635570975253
264,0.998,0.033536774361040446
265,1.0,0.0030518740157422144
266,1.0,0.002181036614230834
267,0.998,0.0026499247082392686
268,0.998,0.03484601726499386
269,0.998,0.012895867847837507
270,0.992,0.015623166847974062
271,0.996,0.02911431523039937
272,0.994,0.022672981668263675
273,0.978,0.09704966095089912
274,0.966,0.10486970737576484
275,0.99,0.04264999721944332
276,0.994,0.0346954133361578
277,0.998,0.016828943841159343
278,0.994,0.023571129619143903
279,0.998,0.01686913426569663
280,0.998,0.013267777865286916
281,0.998,0.008376476518344134
282,0.998,0.008813597744330763
283,0.996,0.011810217263177037
284,0.996,0.02524511557072401
285,0.996,0.011419051375240087
